,id,title,authors,words,rating,category,fandoms,warnings,relationships,characters,additional_tags,summary,language,chapters,comments,kudos,bookmarks,hits,last_visited,last_updated,published
20,838537,Young & Beautiful,['Velvetoscar'],227417,Mature,['M/M'],['One Direction (Band)'],['No Archive Warnings Apply'],"['Harry Styles/Louis Tomlinson', 'Zayn Malik/Liam Payne']","['Louis Tomlinson', 'Harry Styles', 'Niall Horan', 'Zayn Malik', 'Liam Payne', 'OC - Character']",['AU'],"<p>Louis, to his horror, attends an elitist university in which the name Zayn Malik means something, Niall Horan doesn't stop talking, there are pianos everywhere, and Harry Styles, only son of a drug-addled, clinically insane ex-rocker, has a perfect smile and empty eyes.</p>",English,?,3054,15919,6631,684467,2020-07-08,,
21,11794173,I Am Damaged,['Raging_Celiac'],79042,Teen And Up Audiences,['F/M'],"['Be More Chill - Iconis/Tracz', ""Heathers: The Musical - Murphy & O'Keefe""]",['Choose Not To Use Archive Warnings'],"['Other Relationship Tags to Be Added', 'Post-Squip - Relationship', 'Jason ""J.D."" Dean/Veronica Sawyer (minorly)', 'Jason ""J.D."" Dean & Jeremy Heere', 'AU where eveyrbody hated Jeremy after BMC']","['Jeremy Heere', 'Jason ""J. D."" Dean', 'Other Character Tags to Be Added', 'Heather Chandler (Heathers)']","['Fluff and Angst', 'Psychological Drama', 'Teenage Drama', 'Other Additional Tags to Be Added']","<p>Jeremy Heere is trying to put the events of his junior year behind him when his father's company moves to Sherwood, Ohio and he's forced to move away from his only friend, Michael Mell. Through his haze of angst, the one positive Jeremy can find is that there's no-one at this school who could know what he pulled back at Middleborough, so he won't be treated as badly, he hopes. I can deal with the bullies, he tells himself. Of course, things go awry when he manages to simultaneously gain the interest of the local emo kid and his new school's demon queen in his first week. The series of events that unfolds next is as improbable to Jeremy as it is shocking, but hey - since when was life not a complicated mess?</p>",English,?,65,229,26,2170,2020-07-08,,
22,11974779,would it be a sin,['pondify'],4797,Explicit,['F/F'],['Be More Chill - Iconis/Tracz'],['Underage'],"['Brooke Lohst/Chloe Valentine', 'Minor or Background Relationship(s)', 'Jeremy Heere/Michael Mell']","['Brooke Lohst', 'Chloe Valentine', 'Jeremy Heere', 'Michael Mell', 'Rich Goranski']","['Porn with Feelings', 'Phone Sex', ""Page 80 But It's Pinkberry"", 'Gay Awakening', 'Mutual Pining']","<p>Later, Brooke will swear that it’s all Jeremy’s fault.<br/>---<br/>Page 80 fic, but it's Pinkberry.</p>",English,?,30,370,22,4518,2020-07-08,,
23,10272047,The Witch Girl Tale,['WilyMech'],2002,Not Rated,['Other'],['Harry Potter - J. K. Rowling'],"['Choose Not To Use Archive Warnings', 'No Archive Warnings Apply']",[],"['Trixie Clarkson (OC)', 'James Townsend (OC)', 'Rose Beacon (OC)', 'Sam Shriver (OC)', 'Alex Townsend (OC)', 'Iris Clarkson (OC)', 'Thomas Clarkson (OC)', 'Irene Clarks (OC)']","['Ilvermony', 'American Potter story', 'Mystery', 'Not Beta Read']","<p>This story is based off the school for Witch Craft and Wizardry in North America.  Ilvermorny School of Witch Craft and Wizardry.   The Muggles in this story are accepting of magic but that is unusual and not the norm.   Trixie is adopted but she is also a pureblood witch her special ability to see what is unseen that normal witches, wizards and non-magical can not detect.   Magic Glow is determines how strong the thing is magical.</p>",English,?,0,1,0,37,2020-07-08,,
24,771875,Love Runs Wild,['DevilDoll'],9494,Explicit,['M/M'],['Teen Wolf (TV)'],['No Archive Warnings Apply'],['Derek Hale/Stiles Stilinski'],"['Derek Hale', 'Stiles Stilinski', 'Laura Hale']","['Alternate Universe - Porn', 'Possessive Behavior', 'Marking', ""Neckz 'n Throats""]","<p>""You've got a hickey on the back of your neck!"" A <i>Neckz 'n Throats</i> story.</p>",English,?,574,16132,4667,272602,2020-07-08,,
25,6177703,House Proud,['astolat'],23112,Mature,['M/M'],['Harry Potter - J. K. Rowling'],['Choose Not To Use Archive Warnings'],['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Hermione Granger', 'Ron Weasley', 'Kreacher (Harry Potter)', 'Horace Slughorn']","['Post-War', 'EWE', 'Grimmauld Place', 'Malfoy Manor']",<p>His house liked Draco Malfoy more than him.</p>,English,?,938,16671,5660,234488,2020-07-08,,
26,689934,Dying to Return,['StormDancer'],19869,Teen And Up Audiences,['M/M'],['Merlin (TV)'],['No Archive Warnings Apply'],"['Merlin/Arthur Pendragon (Merlin)', 'Gwen/Arthur Pendragon (Merlin)', 'Gwen/Lancelot (Merlin)']","['Merlin (Merlin)', 'Arthur Pendragon (Merlin)', 'Morgana (Merlin)', 'Gwaine (Merlin)']","['Alternate Universe - Canon Divergence', ""Gwaine's cloak is expressive"", 'Arthur is a big ball of angst', 'BAMF Merlin', 'Future Fic']","<p>When they try to hang him, he floats. </p><p>*</p><p>They put him on the pyre at dawn. </p><p>He doesn’t burn.</p>",English,?,369,16686,4016,179977,2020-07-08,,
27,187762,and stand there at the edge of my affection,['coloredink'],2683,General Audiences,['M/M'],['Sherlock (TV)'],['No Archive Warnings Apply'],['Sherlock Holmes/John Watson'],"['Sherlock Holmes', 'John Watson']","['John takes a while to catch on', 'Sherlock is logical']","<p>""You've written love letters,"" Sherlock asserted.</p><p>(<a href=""http://mtslash.com/viewthread.php?tid=21214"" rel=""nofollow"">Chinese</a>, <a href=""http://ryoucchi.wordpress.com/2014/11/09/and-stand-there-at-the-edge-of-my-affection-part-1-2/"" rel=""nofollow"">Vietnamese</a>, <a href=""http://passerbyno3.tistory.com/62"" rel=""nofollow"">Korean</a>, <a href=""http://ficbook.net/readfic/643474"" rel=""nofollow"">Russian</a>, <a href=""http://sherlockbbc.y0.pl/viewtopic.php?f=14&amp;t=692:-"" rel=""nofollow"">Polish</a>, <a href=""http://www.pixiv.net/novel/show.php?id=2785086"" rel=""nofollow"">Japanese</a>, <a href=""http://johnlockpositive.wordpress.com/2014/07/14/mimi-na-hrane-naklonnosti/"" rel=""nofollow"">Slovak</a>, and <a href=""http://www.tapuz.co.il/blog/ViewEntry.asp?EntryId=2012336"" rel=""nofollow"">Hebrew</a> translations available.)</p>",English,?,740,15962,2733,181991,2020-07-08,,
28,3206279,En Garde,['ARWitchyWoman'],330,General Audiences,['Gen'],['Harry Potter - J. K. Rowling'],['None - Warning'],['Hermione Granger/Severus Snape'],"['Severus Snape', 'Hermione Granger']",['Community: grangersnape100'],none,English,?,0,37,2,380,2020-07-08,,
29,6933958,1 romance..................................        ....... mto romantico,['Aoba_Sera'],755,Explicit,['M/M'],"['DRAMAtical Murder (Visual Novel)', 'DRAMAtical Murder - All Media Types']","['Choose Not To Use Archive Warnings', 'Graphic Depictions Of Violence', 'Major Character Death', 'No Archive Warnings Apply', 'Rape/Non-Con', 'Underage']",['Noiz/Seragaki Aoba'],"['Noiz (DRAMAtical Murder)', 'Seragaki Aoba', 'memes - Character', '!! - Character']","['Crack Fic', 'pq deus']",<p>noiz dança ate o chao e arrasta aobbbbbb para comprar roupas legais................................................................................... t amo nozi</p>,Português brasileiro,?,0,2,0,96,2020-07-08,,
